symbol,date,article_count,has_timestamp
ADANIENT,2026-04-06,1,1
ADANIENT,2026-04-09,1,1
APOLLOHOSP,2026-04-08,1,1
ASIANPAINT,2026-04-02,1,1
ASIANPAINT,2026-04-03,2,2
AXISBANK,2026-03-30,1,1
AXISBANK,2026-04-06,1,1
AXISBANK,2026-04-08,1,1
AXISBANK,2026-04-09,1,1
AXISBANK,2026-04-10,2,2
BAJAJ-AUTO,2026-04-03,1,1
BAJAJ-AUTO,2026-04-09,2,2
BAJAJFINSV,2026-04-08,1,1
BAJAJFINSV,2026-04-09,1,1
BAJAJFINSV,2026-04-10,2,2
BAJFINANCE,2026-03-30,1,1
BAJFINANCE,2026-04-01,1,1
BHARTIARTL,2026-03-30,1,1
BHARTIARTL,2026-04-01,1,1
BPCL,2026-03-09,1,1
BPCL,2026-03-17,1,1
BPCL,2026-04-02,1,1
BPCL,2026-04-06,1,1
BPCL,2026-04-08,2,2
BPCL,2026-04-09,2,2
BPCL,2026-04-10,4,4
CIPLA,2026-03-30,1,1
COALINDIA,2026-03-30,2,2
COALINDIA,2026-03-31,2,2
COALINDIA,2026-04-02,1,1
COALINDIA,2026-04-09,2,2
COALINDIA,2026-04-10,2,2
DRREDDY,2026-04-08,1,1
DRREDDY,2026-04-09,3,3
EICHERMOT,2026-04-03,1,1
EICHERMOT,2026-04-09,1,1
EICHERMOT,2026-04-10,1,1
HCLTECH,2026-03-25,1,1
HCLTECH,2026-04-03,1,1
HCLTECH,2026-04-08,1,1
HCLTECH,2026-04-09,1,1
HCLTECH,2026-04-10,2,2
HDFCBANK,2026-03-30,1,1
HDFCBANK,2026-04-01,1,1
HDFCBANK,2026-04-02,3,3
HDFCBANK,2026-04-06,2,2
HDFCBANK,2026-04-07,1,1
HDFCBANK,2026-04-08,3,3
HDFCBANK,2026-04-09,4,4
HDFCBANK,2026-04-10,3,3
HDFCLIFE,2026-04-08,2,2
HDFCLIFE,2026-04-09,2,2
HDFCLIFE,2026-04-10,4,4
HEROMOTOCO,2026-04-02,2,2
HINDALCO,2026-04-07,1,1
HINDUNILVR,2025-12-01,1,1
HINDUNILVR,2026-04-08,1,1
HINDUNILVR,2026-04-09,1,1
HINDUNILVR,2026-04-10,2,2
ICICIBANK,2026-04-08,2,2
ICICIBANK,2026-04-09,4,4
ICICIBANK,2026-04-10,7,7
INFY,2025-12-16,1,1
INFY,2025-12-25,1,1
INFY,2026-04-07,1,1
INFY,2026-04-08,4,4
INFY,2026-04-09,4,4
INFY,2026-04-10,3,3
ITC,2025-11-25,1,1
ITC,2026-01-27,1,1
ITC,2026-02-06,1,1
ITC,2026-03-18,1,1
ITC,2026-03-23,1,1
ITC,2026-03-31,1,1
ITC,2026-04-02,1,1
ITC,2026-04-08,8,8
ITC,2026-04-09,9,9
ITC,2026-04-10,17,17
KOTAKBANK,2025-11-25,1,1
KOTAKBANK,2026-02-02,1,1
KOTAKBANK,2026-03-30,1,1
KOTAKBANK,2026-04-08,1,1
LT,2026-03-30,1,1
LT,2026-04-06,1,1
LT,2026-04-08,1,1
LT,2026-04-09,3,3
LT,2026-04-10,1,1
M&M,2025-11-25,1,1
M&M,2026-02-02,1,1
M&M,2026-03-30,1,1
M&M,2026-04-03,2,2
M&M,2026-04-08,2,2
M&M,2026-04-09,1,1
M&M,2026-04-10,1,1
MACRO,2024-10-03,1,1
MACRO,2025-04-01,1,1
MACRO,2025-11-25,2,2
MACRO,2025-12-02,1,1
MACRO,2025-12-09,1,1
MACRO,2025-12-11,1,1
MACRO,2025-12-17,1,1
MACRO,2025-12-26,1,1
MACRO,2025-12-31,1,1
MACRO,2026-01-01,1,1
MACRO,2026-01-09,2,2
MACRO,2026-01-12,1,1
MACRO,2026-01-13,1,1
MACRO,2026-01-14,1,1
MACRO,2026-01-19,2,2
MACRO,2026-01-21,1,1
MACRO,2026-01-22,2,2
MACRO,2026-01-30,2,2
MACRO,2026-02-02,1,1
MACRO,2026-02-03,1,1
MACRO,2026-02-04,2,2
MACRO,2026-02-06,2,2
MACRO,2026-02-09,1,1
MACRO,2026-02-10,3,3
MACRO,2026-02-12,2,2
