datetime,trade_date,ticker,headline,body,source,source_type,lang,url,company,tags,source_file
2024-09-04,2024-09-04,ADANIENT,adani enterprises kicks off first bond sale aimed at individuals,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest news alerts on financial markets, investment strategies and stocks alerts, subscribe to our Telegram feeds .)  Subscribe to ET Prime and read the Economic Times ePaper Online.and Sensex Today.  Top Trending Stocks: SBI Share Price, Axis Bank Share Price, HDFC Bank Share Price, Infosys Share Price, Wipro",Economic Times (Archive),context,en,https://economictimes.indiatimes.com/markets/bonds/adani-enterprises-kicks-off-first-bond-sale-aimed-at-individuals/articleshow/113047792.cms,,,nifty_context_part3.csv
2024-09-04,2024-09-04,AXISBANK,buy bharti airtel target price rs 1750 axis securities,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest news alerts on financial markets, investment strategies and stocks alerts, subscribe to our Telegram feeds .)  Subscribe to ET Prime and read the Economic Times ePaper Online.and Sensex Today.  Top Trending Stocks: SBI Share Price, Axis Bank Share Price, HDFC Bank Share Price, Infosys Share Price, Wipro",Economic Times (Archive),context,en,https://economictimes.indiatimes.com/markets/stocks/recos/buy-bharti-airtel-target-price-rs-1750-axis-securities/articleshow/113049233.cms,,,nifty_context_part3.csv
2024-09-04,2024-09-04,AXISBANK,buy nestle india target price rs 2800 axis securities,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest news alerts on financial markets, investment strategies and stocks alerts, subscribe to our Telegram feeds .)  Subscribe to ET Prime and read the Economic Times ePaper Online.and Sensex Today.  Top Trending Stocks: SBI Share Price, Axis Bank Share Price, HDFC Bank Share Price, Infosys Share Price, Wipro",Economic Times (Archive),context,en,https://economictimes.indiatimes.com/markets/stocks/recos/buy-nestle-india-target-price-rs-2800-axis-securities/articleshow/113048829.cms,,,nifty_context_part3.csv
2024-09-04,2024-09-04,BAJFINANCE,crude price dip to aid aviation stocks no case for big up move in bajaj finance hemang jani,"Synopsis  Hemang Jani, an independent market expert, discusses the positive impact of falling crude prices on OMCs and aviation stocks. He also highlights the potential for Bajaj Finance's IPO to trigger some market movement despite valuation concerns. Additionally, he notes that while some QSR companies have underperformed, there are signs of revival in urban consumption.  Hemang Jani, Independent Market Expert, says OMCs that have not performed would have a bit of a positive rub-off of the cru",Economic Times (Archive),context,en,https://economictimes.indiatimes.com/markets/expert-view/crude-price-dip-to-aid-aviation-stocks-no-case-for-big-up-move-in-bajaj-finance-hemang-jani/articleshow/113051798.cms,,,nifty_context_part3.csv
2024-09-04,2024-09-04,BAJFINANCE,hot stocks brokerages on gspl bajaj finance azad engineering honasa consumer and federal bank,"Synopsis  HSBC has reiterated its buy rating on Honasa Consumer's Mamaearth, raising the target price to Rs 570 from Rs 550. Honasa is expected to achieve over 20% structural growth with ongoing margin expansion. The company’s house of brands strategy aims to capture greater market share in high-growth personal care categories, supported by enhanced distribution, new brand scaling, and R&D investment.  Brokerage firms such as Morgan Stanley have upgraded GSPL to equal weight while downgrading Fe",Economic Times (Archive),context,en,https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerages-on-gspl-bajaj-finance-azad-engineering-honasa-consumer-and-federal-bank/articleshow/113048730.cms,,,nifty_context_part3.csv
2024-09-04,2024-09-04,HDFCBANK,HDFC Bank Share Price,"HDFC Bank share price: Shares of HDFC Bank, India’s largest private lender, tanked as much as 8.7% to their day's low of Rs 770 on the NSE on Thursday following a leadership change at the top. The bank’s part-time Chairman and independent director Atanu Chakraborty has stepped down, and Keki Mistry, former CEO of HDFC, has been appointed interim part-time chairman with approval from the Reserve Bank of India.  In his resignation letter, Chakraborty said that certain developments and practices wi",Economic Times (Archive),context,en,https://economictimes.indiatimes.com/markets/stocks/news/hdfc-bank-shares-in-focus-as-atanu-chakraborty-quits-says-certain-values-didnt-align-adrs-tumble-7/articleshow/129669233.cms,,,nifty_context_part3.csv
2024-09-04,2024-09-04,HDFCBANK,"Motilal Oswal trims HDFC Bank, increases weight in SBI amid latest reshuffle. Here’s the full list","Domestic brokerage firm Motilal Oswal has reshuffled its model portfolio, raising its weight in SBI by 100 basis points, funded by trimming exposure to HDFC Bank. SBI continues to be its top banking idea and part of its top five India picks, supported by strong loan growth prospects, robust liability franchise, benign CD ratio, and strong balance sheet liquidity.  Asset quality remains healthy with credit costs well below 50 basis points, while improvements in the cost-to-income ratio are expect",Economic Times (Archive),context,en,https://economictimes.indiatimes.com/markets/stocks/news/motilal-oswal-trims-hdfc-bank-increases-weight-in-sbi-amid-latest-reshuffle-heres-the-full-list/articleshow/130077434.cms,,,nifty_context_part3.csv
2024-09-04,2024-09-04,HDFCBANK,buy hdfc bank target price rs 1950 axis securities,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest news alerts on financial markets, investment strategies and stocks alerts, subscribe to our Telegram feeds .)  Subscribe to ET Prime and read the Economic Times ePaper Online.and Sensex Today.  Top Trending Stocks: SBI Share Price, Axis Bank Share Price, HDFC Bank Share Price, Infosys Share Price, Wipro",Economic Times (Archive),context,en,https://economictimes.indiatimes.com/markets/stocks/recos/buy-hdfc-bank-target-price-rs-1950-axis-securities/articleshow/113049157.cms,,,nifty_context_part3.csv
2024-09-04,2024-09-04,HDFCBANK,hdfc amc shares gain 0 01 as sensex falls,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest news alerts on financial markets, investment strategies and stocks alerts, subscribe to our Telegram feeds .)  Subscribe to ET Prime and read the Economic Times ePaper Online.and Sensex Today.  Top Trending Stocks: SBI Share Price, Axis Bank Share Price, HDFC Bank Share Price, Infosys Share Price, Wipro",Economic Times (Archive),context,en,https://economictimes.indiatimes.com/markets/stocks/stock-watch/hdfc-amc-shares-gain-0-01-as-sensex-falls/articleshow/113052022.cms,,,nifty_context_part3.csv
2024-09-04,2024-09-04,ICICIBANK,buy icici bank target price rs 1425 axis securities,Login using your ET Prime credentials to enjoy all member benefits  Log out of your current logged-in account and log in again using your ET Prime credentials to enjoy all member benefits.,Economic Times (Archive),context,en,https://economictimes.indiatimes.com/markets/stocks/recos/buy-icici-bank-target-price-rs-1425-axis-securities/articleshow/113048735.cms,,,nifty_context_part3.csv
